(-351.00689238522057, (4, 6, 3, 4))
(-350.14381036919735, (3, 5, 4, 5))
(-350.14381036919735, (4, 5, 3, 5))
(-349.86802629774763, (1, 5, 1, 9))
(-349.86802629774763, (1, 9, 1, 5))
(-348.5240419023701, (3, 6, 4, 4))
(-348.5240419023701, (4, 4, 3, 6))
(-341.7475235806505, (0, 9, 3, 4))
(-341.7475235806505, (3, 4, 0, 9))
(-339.3046563343777, (1, 6, 1, 8))
(-339.3046563343777, (1, 8, 1, 6))
(-336.1992284289498, (1, 7, 1, 7))
(-335.07771495790075, (0, 8, 3, 5))
(-335.07771495790075, (3, 5, 0, 8))
(-333.7773324714501, (4, 4, 4, 5))
(-333.7773324714501, (4, 5, 4, 4))
(-333.19839427858005, (0, 6, 3, 7))
(-333.19839427858, (3, 7, 0, 6))
(-330.2549377351235, (0, 7, 3, 6))
(-330.2549377351235, (3, 6, 0, 7))
(-321.1561463304498, (4, 4, 0, 8))
(-321.15614633044976, (0, 8, 4, 4))
(-320.72362199204304, (0, 6, 5, 5))
(-320.72362199204304, (5, 5, 0, 6))
(-318.6997243210866, (0, 7, 4, 5))
(-318.6997243210866, (4, 5, 0, 7))
(-318.357266778629, (4, 6, 0, 6))
(-318.35726677862897, (0, 6, 4, 6))
(-311.68535324324796, (0, 6, 0, 9))
(-311.68535324324796, (0, 9, 0, 6))
(-306.5507545086493, (0, 7, 0, 8))
(-306.5507545086493, (0, 8, 0, 7))
(-291.38794281054345, (1, 9, 2, 4))
(-291.38794281054345, (2, 4, 1, 9))
(-287.2961287422588, (1, 5, 2, 8))
(-287.2961287422588, (2, 8, 1, 5))
(-284.3526721988022, (1, 8, 2, 5))
(-284.3526721988022, (2, 5, 1, 8))
(-279.3775806237106, (1, 6, 2, 7))
(-279.3775806237106, (2, 7, 1, 6))
(-278.5123125584426, (1, 7, 2, 6))
(-278.5123125584426, (2, 6, 1, 7))
(-275.28618842457854, (1, 9, 3, 3))
(-275.2861884245785, (3, 3, 1, 9))
(-256.1031087591459, (1, 5, 3, 7))
(-256.1031087591459, (3, 7, 1, 5))
(-254.6066444391522, (1, 8, 3, 4))
(-254.6066444391522, (3, 4, 1, 8))
(-252.2943841504213, (1, 7, 3, 5))
(-252.2943841504213, (3, 5, 1, 7))
(-250.42472048075763, (1, 6, 3, 6))
(-250.42472048075763, (3, 6, 1, 6))
(-246.78010235378656, (1, 5, 5, 5))
(-246.78010235378656, (5, 5, 1, 5))
(-243.2520030021578, (1, 5, 4, 6))
(-243.2520030021578, (4, 6, 1, 5))
(-241.53472234679663, (0, 5, 1, 9))
(-241.53472234679663, (1, 9, 0, 5))
(-240.30854645870127, (1, 6, 4, 5))
(-240.30854645870124, (4, 5, 1, 6))
(-238.65011077673617, (1, 7, 4, 4))
(-238.65011077673617, (4, 4, 1, 7))
(-238.43527040554903, (2, 4, 2, 8))
(-238.43527040554903, (2, 8, 2, 4))
(-238.34884156091587, (0, 9, 1, 5))
(-238.34884156091587, (1, 5, 0, 9))
(-234.59580398961205, (2, 5, 2, 7))
(-234.59580398961205, (2, 7, 2, 5))
(-232.55849857057288, (0, 6, 1, 8))
(-232.55849857057288, (1, 8, 0, 6))
(-231.23262444469873, (0, 8, 1, 6))
(-231.23262444469873, (1, 6, 0, 8))
(-231.15757555138362, (2, 6, 2, 6))
(-229.53059314266744, (0, 7, 1, 7))
(-229.53059314266744, (1, 7, 0, 7))
(-222.61081127334995, (2, 8, 3, 3))
(-222.61081127334995, (3, 3, 2, 8))
(-209.2322721653991, (2, 4, 3, 7))
(-209.23227216539908, (3, 7, 2, 4))
(-207.79493695159331, (2, 5, 3, 6))
(-207.79493695159331, (3, 6, 2, 5))
(-206.92966888632526, (2, 6, 3, 5))
(-206.92966888632526, (3, 5, 2, 6))
(-206.28881562194258, (2, 7, 3, 4))
(-206.28881562194258, (3, 4, 2, 7))
(-202.33494596219055, (2, 4, 5, 5))
(-202.33494596219055, (5, 5, 2, 4))
(-199.391489418734, (2, 5, 4, 5))
(-199.391489418734, (4, 5, 2, 5))
(-198.25586425957943, (2, 4, 4, 6))
(-198.25586425957943, (4, 6, 2, 4))
(-196.09403898475108, (0, 5, 2, 8))
(-196.09403898475108, (2, 8, 0, 5))
(-194.56955717141477, (3, 3, 3, 7))
(-194.56955717141477, (3, 7, 3, 3))
(-194.44713965085484, (2, 6, 4, 4))
(-194.44713965085484, (4, 4, 2, 6))
(-193.89956679027887, (0, 9, 2, 4))
(-193.89956679027887, (2, 4, 0, 9))
(-191.58228407299617, (0, 8, 2, 5))
(-191.58228407299617, (2, 5, 0, 8))
(-189.22450851522058, (0, 6, 2, 7))
(-189.22450851522058, (2, 7, 0, 6))
(-188.38518468115993, (5, 5, 3, 3))
(-188.3851846811599, (3, 3, 5, 5))
(-187.89863438934646, (0, 7, 2, 6))
(-187.89863438934646, (2, 6, 0, 7))
(-184.5764600724353, (3, 5, 3, 5))
(-184.14413161657745, (3, 3, 4, 6))
(-184.14413161657745, (4, 6, 3, 3))
(-181.20067507312092, (3, 4, 3, 6))
(-181.20067507312092, (3, 6, 3, 4))
(-179.0251624536454, (1, 4, 1, 9))
(-179.0251624536454, (1, 9, 1, 4))
(-178.1113314961612, (0, 9, 3, 3))
(-178.1113314961612, (3, 3, 0, 9))
(-175.44547547395845, (1, 5, 1, 8))
(-175.44547547395842, (1, 8, 1, 5))
(-173.51018125321534, (3, 4, 4, 5))
(-173.51018125321534, (4, 5, 3, 4))
(-172.64491318794725, (3, 5, 4, 4))
(-172.64491318794725, (4, 4, 3, 5))
(-172.0419890738776, (0, 5, 3, 7))
(-172.0419890738776, (3, 7, 0, 5))
(-170.68483611331908, (1, 6, 1, 7))
(-170.68483611331908, (1, 7, 1, 6))
(-170.2791401580875, (0, 5, 5, 5))
(-170.2791401580875, (5, 5, 0, 5))
(-167.5302341621227, (0, 7, 3, 5))
(-167.53023416212267, (3, 5, 0, 7))
(-166.87448990637847, (0, 6, 3, 6))
(-166.87448990637844, (3, 6, 0, 6))
(-166.414949446838, (0, 8, 3, 4))
(-166.414949446838, (3, 4, 0, 8))
(-165.48020575915314, (0, 5, 4, 6))
(-165.4802057591531, (4, 6, 0, 5))
(-163.54200020825408, (0, 5, 0, 9))
(-163.54200020825408, (0, 9, 0, 5))
(-162.29432497327235, (0, 6, 4, 5))
(-162.29432497327235, (4, 5, 0, 6))
(-160.87533766543055, (4, 4, 4, 4))
(-158.15113483008219, (0, 7, 4, 4))
(-158.15113483008219, (4, 4, 0, 7))
(-157.4619469282008, (0, 8, 0, 6))
(-157.46194692820077, (0, 6, 0, 8))
(-155.6754667417206, (0, 7, 0, 7))
(-152.9064074212681, (1, 9, 2, 3))
(-152.9064074212681, (2, 3, 1, 9))
(-142.3558520942422, (2, 8, 1, 4))
(-142.35585209424218, (1, 4, 2, 8))
(-141.13174287013297, (1, 5, 2, 7))
(-141.13174287013297, (2, 7, 1, 5))
(-139.80586874425885, (1, 7, 2, 5))
(-139.80586874425885, (2, 5, 1, 7))
(-139.1699713083614, (1, 8, 2, 4))
(-139.1699713083614, (2, 4, 1, 8))
(-138.0731348115249, (1, 6, 2, 6))
(-138.0731348115249, (2, 6, 1, 6))
(-129.58630399528232, (1, 8, 3, 3))
(-129.58630399528232, (3, 3, 1, 8))
(-125.05512928763702, (1, 5, 3, 6))
(-125.05512928763702, (3, 6, 1, 5))
(-124.57720720971494, (1, 4, 3, 7))
(-124.57720720971494, (3, 7, 1, 4))
(-123.7292551617629, (1, 6, 3, 5))
(-123.7292551617629, (3, 5, 1, 6))
(-123.48079773683489, (1, 4, 5, 5))
(-123.48079773683489, (5, 5, 1, 4))
(-121.66401524172423, (2, 3, 2, 8))
(-121.66401524172423, (2, 8, 2, 3))
(-120.2949169509541, (1, 5, 4, 5))
(-120.2949169509541, (4, 5, 1, 5))
(-120.06545229796004, (1, 7, 3, 4))
(-120.06545229796004, (3, 4, 1, 7))
(-118.37101381590546, (0, 5, 1, 8))
(-118.37101381590546, (1, 8, 0, 5))
(-118.0842609402981, (1, 4, 4, 6))
(-118.0842609402981, (4, 6, 1, 4))
(-116.80271544760708, (0, 8, 1, 5))
(-116.80271544760708, (1, 5, 0, 8))
(-116.77953862443027, (0, 9, 1, 4))
(-116.77953862443027, (1, 4, 0, 9))
(-114.19532284021447, (0, 6, 1, 7))
(-114.19532284021447, (1, 7, 0, 6))
(-113.73471677960843, (1, 6, 0, 7))
(-113.73471677960842, (0, 7, 1, 6))
(-113.57250602854317, (1, 6, 4, 4))
